"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2013","899.97","904.42","905.52","891.45","1.99B","-0.59%"
"12/04/2013","905.32","911.22","912.70","905.32","1.95B","-1.33%"
"12/03/2013","917.55","924.22","924.70","911.66","1.92B","-0.83%"
"12/02/2013","925.23","910.71","928.19","909.81","2.78B","1.99%"
"11/29/2013","907.19","898.79","907.62","898.22","1.69B","0.51%"
"11/28/2013","902.59","909.41","912.13","895.35","1.87B","-0.36%"
"11/27/2013","905.88","908.24","911.41","898.42","1.99B","0.48%"
"11/26/2013","901.55","927.39","928.24","901.55","3.95B","-2.94%"
"11/25/2013","928.86","928.21","932.75","924.93","1.73B","0.41%"
"11/22/2013","925.03","933.63","935.50","921.64","1.67B","-0.14%"
"11/21/2013","926.33","926.25","929.14","919.76","1.74B","-0.68%"
"11/20/2013","932.63","948.65","948.65","927.94","2.05B","-1.40%"
"11/19/2013","945.87","943.53","948.50","937.18","2.11B","0.18%"
"11/18/2013","944.21","935.25","946.08","935.21","1.95B","1.74%"
"11/15/2013","928.07","942.16","946.86","925.39","2.09B","-0.86%"
"11/14/2013","936.16","925.31","940.63","925.31","2.39B","1.84%"
"11/13/2013","919.22","932.92","932.92","915.48","2.21B","-2.12%"
"11/12/2013","939.09","956.18","957.76","937.17","2.46B","-1.57%"
"11/11/2013","954.08","961.75","964.38","952.12","2.42B","-0.88%"
"11/08/2013","962.55","957.83","965.64","953.81","2.41B","-0.25%"
"11/07/2013","964.94","955.37","967.07","954.38","2.20B","1.14%"
"11/06/2013","954.07","949.76","954.07","946.00","1.94B","0.62%"
"11/04/2013","948.22","947.57","953.07","942.10","1.72B","-0.11%"
"11/01/2013","949.25","957.52","970.64","949.25","2.71B","-1.91%"
"10/31/2013","967.78","973.45","977.29","961.86","2.67B","-1.74%"
"10/30/2013","984.88","982.00","985.90","975.92","2.15B","0.32%"
"10/29/2013","981.76","987.33","990.41","977.12","2.04B","-0.83%"
"10/28/2013","989.96","991.43","995.58","985.96","2.47B","0.22%"
"10/25/2013","987.77","987.14","994.17","984.02","2.73B","-0.37%"
"10/24/2013","991.46","976.28","991.46","975.36","3.15B","1.30%"
"10/23/2013","978.78","975.83","996.66","975.83","2.99B","0.80%"
"10/22/2013","970.99","980.73","983.08","967.88","2.02B","-1.74%"
"10/21/2013","988.22","983.04","990.31","980.87","3.01B","0.84%"
"10/18/2013","979.97","972.80","979.97","967.74","3.24B","0.74%"
"10/17/2013","972.73","975.21","981.39","967.30","3.13B","0.69%"
"10/16/2013","966.06","976.22","977.66","963.99","1.81B","-0.82%"
"10/11/2013","974.02","974.85","979.63","969.38","2.33B","0.98%"
"10/10/2013","964.53","963.83","969.07","962.41","2.59B","0.76%"
"10/09/2013","957.24","946.98","960.26","944.11","2.77B","0.73%"
"10/08/2013","950.28","931.92","953.20","931.63","2.71B","1.49%"
"10/07/2013","936.37","939.94","944.24","931.92","2.10B","-0.29%"
"10/04/2013","939.05","943.24","944.49","934.80","1.83B","-0.73%"
"10/03/2013","945.98","941.26","948.05","940.81","1.88B","0.76%"
"10/02/2013","938.80","934.47","948.64","934.28","2.26B","1.25%"
"10/01/2013","927.23","917.25","936.26","917.25","2.24B","1.05%"
"09/30/2013","917.59","937.23","942.04","917.59","2.24B","-3.19%"
"09/27/2013","947.82","952.28","956.47","945.90","1.78B","0.44%"
"09/26/2013","943.70","942.89","961.32","940.89","2.79B","-0.03%"
"09/25/2013","943.94","938.30","953.63","929.91","2.50B","-1.45%"
"09/24/2013","957.79","980.47","987.29","953.70","3.02B","-2.71%"
"09/23/2013","984.44","974.15","984.44","970.68","2.39B","-0.56%"
"09/20/2013","989.98","1,008.99","1,012.71","989.87","3.23B","-2.29%"
"09/19/2013","1,013.21","992.82","1,048.94","992.82","6.29B","5.39%"
